postcode,Latitude,Longitude,Easting,Northing
SY3 9FE,52.698555,-2.786037,346978,311499
SY3 9FF,52.698375,-2.787291,346893,311480
SY3 9FL,52.691268,-2.775726,347666,310681
SY3 9FN,52.691779,-2.774611,347742,310737
SY3 9FP,52.690827,-2.773189,347837,310630
SY3 9FQ,52.690347,-2.775,347714,310578
SY3 9FR,52.690507,-2.775313,347693,310596
SY3 9FS,52.689777,-2.774191,347768,310514
SY3 9FT,52.690142,-2.774715,347733,310555
SY3 9FW,52.700609,-2.781264,347303,311724
SY3 9FX,52.700826,-2.778263,347506,311746
SY3 9HG,52.688223,-2.762919,348528,310333
SY3 9HJ,52.687633,-2.765247,348370,310269
SY3 9HR,52.690625,-2.766897,348262,310603
SY3 9HT,52.690592,-2.764958,348393,310598
SY3 9HX,52.690647,-2.766128,348314,310605
SY3 9JA,52.693145,-2.756643,348958,310876
SY3 9JB,52.692726,-2.756073,348996,310829
SY3 9JD,52.694739,-2.754747,349088,311052
SY3 9JE,52.694879,-2.755282,349052,311068
SY3 9JG,52.694502,-2.756607,348962,311027
SY3 9JP,52.692256,-2.759187,348785,310779
SY3 9JS,52.690722,-2.760152,348718,310609
SY3 9JT,52.691914,-2.757924,348870,310740
SY3 9JW,52.692713,-2.758071,348861,310829
SY3 9JX,52.692281,-2.756731,348951,310780
SY3 9LB,52.689302,-2.755748,349014,310448
SY3 9LF,52.687508,-2.756605,348954,310249
SY3 9LQ,52.686344,-2.757265,348908,310120
SY3 9LS,52.687732,-2.758177,348848,310275
SY3 9LY,52.689927,-2.756484,348965,310518
SY3 9NH,52.688837,-2.758255,348844,310398
SY3 9NN,52.687131,-2.75932,348770,310209
SY3 9NQ,52.68914,-2.758689,348815,310432
SY3 9NS,52.685935,-2.762155,348577,310078
SY3 9NW,52.686772,-2.759284,348772,310169
SY3 9NZ,52.685389,-2.760474,348690,310016
SY3 9PB,52.685886,-2.761488,348622,310072
SY3 9PF,52.685821,-2.758898,348797,310063
SY3 9PG,52.685736,-2.758113,348850,310053
SY3 9PH,52.684484,-2.759925,348726,309915
SY3 9PL,52.684532,-2.763624,348476,309923
SY3 9PP,52.684671,-2.754662,349082,309932
SY3 9PQ,52.684742,-2.760314,348700,309944
SY3 9PS,52.69004,-2.772553,347879,310542
SY3 9PW,52.684722,-2.756483,348959,309939
SY3 9PZ,52.684595,-2.753803,349140,309923
SY3 9QD,52.687485,-2.771369,347956,310257
SY3 9QF,52.686416,-2.772696,347865,310139
SY3 9QG,52.687197,-2.772799,347859,310226
SY3 9QH,52.687821,-2.769452,348086,310293
SY3 9QJ,52.687876,-2.767944,348188,310298
SY3 9QL,52.687587,-2.766755,348268,310265
